series_id,period_end,fiscal_year,fiscal_quarter,geography,country,segment,value,units,source_type,source,notes
de_rev606_matrix_actual,2025-07-27,2025,Q3,United States,,PPA,1684,USD_millions,filing,corpus:challenge/offline-data/deere/filings/2025-08-14__de-us-20250814-q3-10q__155834.md,ASC 606 revenue from contracts with customers; three months ended 2025-07-27; ACTUAL
de_rev606_matrix_actual,2025-07-27,2025,Q3,United States,,SAT,1537,USD_millions,filing,corpus:challenge/offline-data/deere/filings/2025-08-14__de-us-20250814-q3-10q__155834.md,ASC 606 revenue from contracts with customers; three months ended 2025-07-27; ACTUAL
de_rev606_matrix_actual,2025-07-27,2025,Q3,United States,,CF,1687,USD_millions,filing,corpus:challenge/offline-data/deere/filings/2025-08-14__de-us-20250814-q3-10q__155834.md,ASC 606 revenue from contracts with customers; three months ended 2025-07-27; ACTUAL
de_rev606_matrix_actual,2025-07-27,2025,Q3,United States,,FS,1100,USD_millions,filing,corpus:challenge/offline-data/deere/filings/2025-08-14__de-us-20250814-q3-10q__155834.md,ASC 606 revenue from contracts with customers; three months ended 2025-07-27; ACTUAL
de_rev606_matrix_actual,2025-07-27,2025,Q3,Canada,,PPA,335,USD_millions,filing,corpus:challenge/offline-data/deere/filings/2025-08-14__de-us-20250814-q3-10q__155834.md,ASC 606 revenue from contracts with customers; three months ended 2025-07-27; ACTUAL
de_rev606_matrix_actual,2025-07-27,2025,Q3,Canada,,SAT,148,USD_millions,filing,corpus:challenge/offline-data/deere/filings/2025-08-14__de-us-20250814-q3-10q__155834.md,ASC 606 revenue from contracts with customers; three months ended 2025-07-27; ACTUAL
de_rev606_matrix_actual,2025-07-27,2025,Q3,Canada,,CF,222,USD_millions,filing,corpus:challenge/offline-data/deere/filings/2025-08-14__de-us-20250814-q3-10q__155834.md,ASC 606 revenue from contracts with customers; three months ended 2025-07-27; ACTUAL
de_rev606_matrix_actual,2025-07-27,2025,Q3,Canada,,FS,190,USD_millions,filing,corpus:challenge/offline-data/deere/filings/2025-08-14__de-us-20250814-q3-10q__155834.md,ASC 606 revenue from contracts with customers; three months ended 2025-07-27; ACTUAL
de_rev606_matrix_actual,2025-07-27,2025,Q3,Western Europe,,PPA,677,USD_millions,filing,corpus:challenge/offline-data/deere/filings/2025-08-14__de-us-20250814-q3-10q__155834.md,ASC 606 revenue from contracts with customers; three months ended 2025-07-27; ACTUAL
de_rev606_matrix_actual,2025-07-27,2025,Q3,Western Europe,,SAT,757,USD_millions,filing,corpus:challenge/offline-data/deere/filings/2025-08-14__de-us-20250814-q3-10q__155834.md,ASC 606 revenue from contracts with customers; three months ended 2025-07-27; ACTUAL
